label,nb_events_culture,titres_events_culture,tarif_transport_etudiant,source
Baie-Mahault,0,Aucun événement recensé,Indisponible,Non renseignée
Bastia,0,Aucun événement recensé,Indisponible,Non renseignée
Bayonne,6,"Stage de SLAM, Stage POP-UP, Spectacle ""Mille et un objets"", RAP' LAB, Stage de MARIONNETTES",Indisponible,Non renseignée
Beaune,0,Aucun événement recensé,Indisponible,Non renseignée
Beaupréau-en-Mauges,0,Aucun événement recensé,Indisponible,Non renseignée
Beauvais,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Belfort,0,Aucun événement recensé,Indisponible,Non renseignée
Bergerac,0,Aucun événement recensé,Indisponible,Non renseignée
Besançon,8,"Exposition de portraits en cartes postales, Spectacle musical « La Vélo-Scène » à la gare d'eau de Besançon, Atelier de portraits photographiques « Salut à toi ! », Fantastiques visites guidées à la Maison de quartier de Saint-Ferjeux, Fantastiques visites guidées à la MJC de Palente",Indisponible,Non renseignée
Bezons,1,"Création de projection itinérante ""sportive""",31.2,Imagine R - Île-de-France Mobilités
Biarritz,0,Aucun événement recensé,Indisponible,Non renseignée
Blagnac,0,Aucun événement recensé,Indisponible,Non renseignée
Blois,1,"Intervention ""Escapade culturelle dans les jardins""",Indisponible,Non renseignée
Bobigny,10,"Ateliers footstyle et jonglage, Croisière Jonglée, Nuit Blanche : « T'es ok ou t'es ko », Cocons-Cabanes - Juliette Plihon / Sidonie Rocher, Scènes Nomaades #4 / Bobigny",31.2,Imagine R - Île-de-France Mobilités
Bois-Colombes,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Bondy,2,"L’Été culturel Des livres à soi, Les rendez-vous du parc Bondy",31.2,Imagine R - Île-de-France Mobilités
Bordeaux,3,"GAVEGRAFF 2024 interquartiers - Réalisation d'une fresque collective dans l'espace public, La Colo à danser, Spectacle ""La Beauté est dans mon quartier""",Indisponible,Non renseignée
Bouguenais,0,Aucun événement recensé,Indisponible,Non renseignée
Boulogne-Billancourt,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Boulogne-sur-Mer,0,Aucun événement recensé,Indisponible,Non renseignée
Bourg-en-Bresse,2,"Micro-Folie x Freestyle Extra, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Silvio Demoro",Indisponible,Non renseignée
Bourg-la-Reine,2,"Les ateliers d'Eté de La Source Garouste - Des Brillants - Atelier Sculpture, L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Bourges,1,"Intervention ""Escapade culturelle dans les jardins""",Indisponible,Non renseignée
Bourgoin-Jallieu,4,"LE PETIT BAL – MAISONS DES HABITANTS DE CHAMP-FLEURI – COMPAGNIE LES PHOSPHORESCENTES EN SCÈNE, FROU-FROU : RÉTROPÉDALAGE HISTORIQUE POUR EN DÉCOUDRE AVEC LA ROBE ! COMPAGNIE LA BELLE TRAME, LE PETIT BAL – MAISONS DES HABITANTS DE CHAMPARET – COMPAGNIE LES PHOSPHORESCENTES EN SCÈNE",Indisponible,Non renseignée
Brest,1,Fenêtres Ouvertes #5,30.0,Bibus
Brive-la-Gaillarde,0,Aucun événement recensé,Indisponible,Non renseignée
Bron,3,Atelier Fanfare In Situ,Indisponible,Non renseignée
Bruay-la-Buissière,0,Aucun événement recensé,Indisponible,Non renseignée
Bruges,0,Aucun événement recensé,Indisponible,Non renseignée
Brunoy,6,"OuVERTures / TM+ / Fantaisie et chant d'amour, Doubles Jeux #03 (Sport et Cinéma en Essonne) – Le Monde de Nemo – Ciné-Piscine sous les étoiles, OuVERTures / Le Cercle de l'Harmonie / Quatuor Viva Verdi, OuVERTures / Baroque Nomade / Sur un Rameau de fleurs, OuVERTures / La Tempesta / Quatuor de Ravel",31.2,Imagine R - Île-de-France Mobilités
Brétigny-sur-Orge,12,"Doubles Jeux #03 (Sport et Cinéma en Essonne) – Les Trois mousquetaires : D'Artagnan de Martin Bourboulon – Avant Match (Cinéma et escrime), Lectures hors les murs, Spectacle « Top Chrono », Retransmission des épreuves des Jeux Paralympiques de Paris 2024, Doubles Jeux #03 (Sport et Cinéma en Essonne) –  Atelier animation",31.2,Imagine R - Île-de-France Mobilités
Bussy-Saint-Georges,1,L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé,31.2,Imagine R - Île-de-France Mobilités
Bègles,0,Aucun événement recensé,Indisponible,Non renseignée
Béthune,0,Aucun événement recensé,Indisponible,Non renseignée
Béziers,0,Aucun événement recensé,Indisponible,Non renseignée
Cachan,9,"Soirées contes, Les ateliers d'Eté de La Source Garouste - Des Brillants - Atelier BD, Les ateliers d'Eté de La Source Garouste - Des Brillants - Rap, Stage danse et percussions africaines, Soirée-spectacle : shows de danse, dîner et bal",31.2,Imagine R - Île-de-France Mobilités
Caen,0,Aucun événement recensé,Indisponible,Non renseignée
Cagnes-sur-Mer,2,"Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Emika Lannelongue, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Morgane MANILEVE et Jeanne APERGIS",Indisponible,Non renseignée
Calais,1,"Spectacle ""3 pour 2""",Indisponible,Non renseignée
Caluire-et-Cuire,1,Un été avec l'EOC - Récital de violoncelle,Indisponible,Non renseignée
Cambrai,2,"Fresque collaborative ""Faire ensemble"", Atelier de tissage ""Tisser des liens""",Indisponible,Non renseignée
Cannes,1,L'Été culturel Des livres à soi,Indisponible,Non renseignée
Carcassonne,0,Aucun événement recensé,Indisponible,Non renseignée
Carpentras,1,L'Été culturel Des livres à soi,Indisponible,Non renseignée
Carquefou,2,"Exposition Sous la terre, les dragons, Visites exceptionnelles des réserves !",Indisponible,Non renseignée
Castelnau-le-Lez,0,Aucun événement recensé,Indisponible,Non renseignée
Castres,0,Aucun événement recensé,Indisponible,Non renseignée
Cavaillon,0,Aucun événement recensé,Indisponible,Non renseignée
Cayenne,1,Cie Tempor'Air - Roulez Tambou!,Indisponible,Non renseignée
Cenon,0,Aucun événement recensé,Indisponible,Non renseignée
Cergy,7,"20 ans de la Ruche, D-DAY, Ateliers découverte du Parkour, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, La ville du chat obstiné - Blöffique Théâtre",31.2,Imagine R - Île-de-France Mobilités
Challans,0,Aucun événement recensé,Indisponible,Non renseignée
Chalon-sur-Saône,8,"Concert participatif « Le voyage du quatuor Jaspe » au service de pédiatrie du Centre hospitalier William Morey, Concert participatif « Le voyage du quatuor Jaspe » à l'Ehpad Roger Lagrange, « Des livres à soi » à la Direction de la petite enfance du Grand Chalon, « Raconte-moi une histoire » à la Maison de quartier des Aubépins, « Raconte-moi une histoire » à la Maison de quartier des Prés Saint-Jean",Indisponible,Non renseignée
Chambéry,6,"Atelier Artistique (théâtre marionnettes chant), Stage GRAFF et Art Plastique, STAGE Pop up 3-14 ans, IMMERSION CULTURELLE, Fabrique Culturelle - F.J.T en Fête / temps fort culturel (choix du titre en cours) avec un concert de Mélo Trio",Indisponible,Non renseignée
Champigny-sur-Marne,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Champs-sur-Marne,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Charenton-le-Pont,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Charleville-Mézières,11,"Jeunes ESTivants 2024 / Festival Mondial des Théâtres de Marionnettes - Cie XannaX Princesse Guerrière ""Hybridité #3"" & le Studio du FMTM, Ateliers sonores & rotoscopie avec Marie-Laure Picard / Bip3, Olympiade Culturelle _ Echappée Belle #3, L’Été culturel Des livres à soi, Les Apprentis Sorciers / Quand le skate et la poésie d'Arthur Rimbaud entrent en résonance",Indisponible,Non renseignée
Chartres,2,"Les Petits Curieux des Sons, Intervention ""Escapade culturelle dans les jardins""",Indisponible,Non renseignée
Chatou,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Chaumont,2,"Jeunes ESTivants 2024 - Grimoire&Chandelles ""Reclaim : au cœur de l'obscur"" & Ligue de l'Enseignement 52, Jeunes ESTivants 2024 - Studio Dynamo ""Résidence Meunier/Le Clainche"" & Le Signe",Indisponible,Non renseignée
Chaville,2,"OuVERTures / La Tempesta / Quatuor de Ravel, L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Chelles,28,"Visite d'atelier - résidence de Thomas Levy-Lasne au Centre d'art Les Eglises, Par les quartiers : Apérotomanie de la Cie Dérézo, Cyclobal à la résidence Trinquand, Concert Alexandre Vieira, 22ᵉ anniversaire des Cuizines : I'm ""still"" not a grrrl !",31.2,Imagine R - Île-de-France Mobilités
Chemillé-en-Anjou,1,séjours culturel,Indisponible,Non renseignée
Cherbourg-en-Cotentin,2,"Résidence Soudain l'été prochain : Lucie Bombasaro, Résidence ""Soudain l'été prochain"" : Solène Langlais",Indisponible,Non renseignée
Choisy-le-Roi,2,"Résonances musicales | Trio Parrhèsia au conservatoire de Choisy-le-Roi, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Cholet,0,Aucun événement recensé,Indisponible,Non renseignée
Châlons-en-Champagne,1,La Fabrique du livre jeunesse #5_Atelier avec Alexandra Pichard,Indisponible,Non renseignée
Châteauroux,0,Aucun événement recensé,Indisponible,Non renseignée
Châtellerault,0,Aucun événement recensé,Indisponible,Non renseignée
Châtenay-Malabry,1,L'Entresort fond vert : cinéma forain du XXIe siècle,31.2,Imagine R - Île-de-France Mobilités
Châtillon,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Clamart,20,"Rencontre-atelier : l'imaginaire dans les jeux vidéos, Atelier numérique : exploration du monde d'Hyrule, Atelier marionnettes et théâtre d'ombres, Exposition des créations de l'été, La fête du Poussin Masqué",31.2,Imagine R - Île-de-France Mobilités
Clermont-Ferrand,4,"Atelier Cinéma : Entre nos mains, Résonance croisée, Work Work, Work! Work!",Indisponible,Non renseignée
Clichy,2,"Encore en corps - spectacle de danse, L'entresort fond vert : cinéma forain du XXIe siècle",31.2,Imagine R - Île-de-France Mobilités
Clichy-sous-Bois,11,"Ateliers yoga - Alors on bouge ?, L’Été culturel Des livres à soi, Scènes Nomaades #4 / Clichy-sous-Bois, Atelier doublage - Alors on joue ?, Ateliers acrobaties  - Alors on bouge ?",31.2,Imagine R - Île-de-France Mobilités
Colmar,2,"Jeunes ESTivants 2024 - Anouck Constant et Charlotte Bresler ""Raconte-moi une histoire"" & le Lézard, La Fabrique du livre jeunesse #5_Atelier avec Sandra Poirot Chérif",Indisponible,Non renseignée
Colombes,8,"Workshop breakdance et Battle 1vs1 freestyle - Fusion Concept, Papet and co x Colombes, Manga en mouvement, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, Danse avec ton livre",31.2,Imagine R - Île-de-France Mobilités
Colomiers,0,Aucun événement recensé,Indisponible,Non renseignée
Combs-la-Ville,2,"Fusion concept show à Combs-la-Ville, L'Oreille Bronzée !",31.2,Imagine R - Île-de-France Mobilités
Compiègne,0,Aucun événement recensé,Indisponible,Non renseignée
Concarneau,3,"L’Été culturel Des livres à soi, Ruy Blas d'après Victor Hugo, Les Flottantes",Indisponible,Non renseignée
Conflans-Sainte-Honorine,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Corbeil-Essonnes,45,"Le lièvre, la tortue…le blaireau/ Festival « les Yourtes dans ma ville », Ateliers participatifs en archéologie dans le cadre de l'Evènement ""Yourtes dans ma ville"", « Des Yourtes dans ma Ville » à Corbeil-Essonnes, Spectacle Barak'Théâtre, Barak'Théâtre - 23 août - Déambulation artistique",31.2,Imagine R - Île-de-France Mobilités
Cormeilles-en-Parisis,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Coudekerque-Branche,0,Aucun événement recensé,Indisponible,Non renseignée
Courbevoie,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Cournon-d'Auvergne,0,Aucun événement recensé,Indisponible,Non renseignée
Couëron,0,Aucun événement recensé,Indisponible,Non renseignée
Creil,0,Aucun événement recensé,Indisponible,Non renseignée
Croix,0,Aucun événement recensé,Indisponible,Non renseignée
Créteil,6,"L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, Festival Vive l'Art Rue « Les Jeux Olympiques à la Croix des Mèches à Créteil », Ateliers théâtraux intergénérationnels (session 2), Ateliers théâtraux intergénérationnels (session 1), Représentation du Choeur des oiseaux de Wajdi Mouawad",31.2,Imagine R - Île-de-France Mobilités
Cugnaux,1,Stage Cirque et Sciences,Indisponible,Non renseignée
Dammarie-les-Lys,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Dax,0,Aucun événement recensé,Indisponible,Non renseignée
Denain,0,Aucun événement recensé,Indisponible,Non renseignée
Deuil-la-Barre,1,Atelier teinture naturelle,31.2,Imagine R - Île-de-France Mobilités
Dieppe,1,"Ateliers : ""Ecoutez Voir""",Indisponible,Non renseignée
Dijon,24,"Atelier graphique « Les Outils de la Minoterie », Atelier de pratique artistique « Micro-zoom » avec l'artiste Armand Louet à  L'Archipel, Atelier de pratique artistique « La Termitière » avec l'artiste Nathan Carême au Cercle laïque dijonnais, Atelier de pratique artistique « La Termitière » avec l'artiste Nathan Carême au Tempo, Atelier de pratique artistique « Modeler - pincer - décorer » avec l'artiste Camille Seveno au centre de loisirs Marie Noël",Indisponible,Non renseignée
Dole,1,Mes vacances musicales avec Alice Waring,Indisponible,Non renseignée
Douai,0,Aucun événement recensé,Indisponible,Non renseignée
Draguignan,1,L'Été culturel Des livres à soi,Indisponible,Non renseignée
Drancy,1,L’Été culturel Des livres à soi,31.2,Imagine R - Île-de-France Mobilités
Draveil,1,Breaking en Herbe,31.2,Imagine R - Île-de-France Mobilités
Dreux,0,Aucun événement recensé,Indisponible,Non renseignée
Dumbéa,0,Aucun événement recensé,Indisponible,Non renseignée
Dunkerque,16,"TRAPEZE, Le quartet, Initiation à l'escrime avec la Salle d'armes Jean Bart, The Bikeriders (VF) - Les débats de l'été, Le Roman de Jim - Ciné-Quiz, Cinéma plein air",Indisponible,Non renseignée
Décines-Charpieu,0,Aucun événement recensé,Indisponible,Non renseignée
Eaubonne,10,"Eaubonne en Fête - Show breakdance, Eaubonne en Fête - Pizza Puppet, Eaubonne en Fête - Connivences, Spectacle ""Looking for"" - Cie Allégorie, Spectacle ""Copyleft"" - Cie Nicanor de Elia",31.2,Imagine R - Île-de-France Mobilités
Ermont,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Eysines,0,Aucun événement recensé,Indisponible,Non renseignée
Faaa,0,Aucun événement recensé,Indisponible,Non renseignée
Fleury-les-Aubrais,0,Aucun événement recensé,Indisponible,Non renseignée
Fontaine,0,Aucun événement recensé,Indisponible,Non renseignée
Fontenay-aux-Roses,1,L'Abécédaire sportif et décalé,31.2,Imagine R - Île-de-France Mobilités
Fontenay-sous-Bois,6,"""Deux Idiots Sublimes, en voyage avec Nassr Eddin Hodja"": petite forme version nomade, ""Deux Idiots Sublimes, en voyage avec Nassr Eddin Hodja"": extraits du spectacle version nomade, thé-philo + ateliers de dessin et musique numériques., L’Été culturel Des livres à soi, Projection en plein air à Fontenay-sous-Bois, Ateliers « thé-philo », dessin et musiques numériques, en compagnie de Nassr Eddin Hodja",31.2,Imagine R - Île-de-France Mobilités
Forbach,0,Aucun événement recensé,Indisponible,Non renseignée
Fort-de-France,1,"Exposition ""Ô Mes Aïeux""",Indisponible,Non renseignée
Fougères,0,Aucun événement recensé,Indisponible,Non renseignée
Franconville,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Fresnes,9,"OuVERTures / Pulcinella & Baroque Nomade / Battle Baroque, OuVERTures / Les Paladins / Dans les rues de Naples, Concert Jardinal, Voyage en voisinage - Atelier photographique, 07/07 ● Rencontre « Toi sans qui le monde » ● Laëtitia Madancos - Compagnie l'Entaille",31.2,Imagine R - Île-de-France Mobilités
Frontignan,1,Corps en accord : intégrité physique et intime,Indisponible,Non renseignée
Fréjus,2,"Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Murphy Yum / Théo Combaluzier, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Sioban Lopez Dailland et Thomas Parigi",Indisponible,Non renseignée
Gagny,1,L’Été culturel Des livres à soi,31.2,Imagine R - Île-de-France Mobilités
Gap,0,Aucun événement recensé,Indisponible,Non renseignée
Gardanne,1,Le ventre de la forêt,Indisponible,Non renseignée
Garges-lès-Gonesse,3,"Enfants Sauvages / Spectacle acrobatique / L'été culturel du Moulin Fondu, Initiation au Parkour / Été culturel du Moulin Fondu, Les ninjas / spectacle acrobatique / Été culturel du Moulin Fondu",31.2,Imagine R - Île-de-France Mobilités
Gennevilliers,3,"Encore en corps - ateliers de danse pour enfants et jeunes + diffusion, les rendez-vous du parc Gennevilliers, Ateliers Scratch avec Théo Robine-Langlois",31.2,Imagine R - Île-de-France Mobilités
Gif-sur-Yvette,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Givors,0,Aucun événement recensé,Indisponible,Non renseignée
Gonesse,5,"Spectacle ""Pile Poil"" - Cie Les Plumés, Projection en plein air à Gonesse, Spectacle ""Looking for"" - Cie Allégorie, Spectacle ""Les patineurs"" - Cie 15FEET6, Spectacle ""Copyleft"" - Cie Nicanor de Elia",31.2,Imagine R - Île-de-France Mobilités
Goussainville,7,"Théâtre en jeu, Escape game • Cie Les Ombres portées, Les Escales - Week-end sous chapiteau / Amadou & Mariam + Eden Fight & Seenthya x Simplicity Band ..., Les Escales - Amadou & Mariam + Eden Fight & Seenthya x Simplicity Band, La Renverse • Cie Les Ombres portées, Olympiades circassiennes",31.2,Imagine R - Île-de-France Mobilités
Gradignan,1,Komonò Circus : Stages de cirque au Quartier Mineur de Bordeaux - Gradignan,Indisponible,Non renseignée
Grande-Synthe,0,Aucun événement recensé,Indisponible,Non renseignée
Grasse,6,"Mouvements - Fim & photographie. Restitution des ateliers de transmission réalisés lors de la résidence en territoire en Pays de Grasse., Mouvements - Film & Photographie. Résidence en Pays de Grasse. Ateliers de pratique sur le mouvement, les sports et valeurs de l'olympisme., Résidence ""Selva Oscura""+ transmission, Rouvrir le monde avec les jeunes diplômé·es de la Villa Arson - Léa Doussière, Mouvements - Fim & photographie. Restitution de travail en cours de résidence en territoire en Pays de Grasse.",Indisponible,Non renseignée
Grenoble,27,"Atelier • Danse le sud, Atelier • Fabrications tropicales, Atelier • Derrière les platines w/Arkeya, Nebraska Jones + La Kombinaison + Kompa Doudou Chéri, Francky goes to Pointe-à-Pitre + Tangomotán + Socade Rud",Indisponible,Non renseignée
Grigny,26,"Culture 360 au Village Vacances Tuileries, La levée des couleurs (Eté du TAG), Grigny, l'Eté sonore – Atelier de Jeux de sons des Structures Sonores Baschet"", Le lièvre, la tortue…le blaireau, Le lièvre, la tortue…le blaireau/ Village vacance Grigny",31.2,Imagine R - Île-de-France Mobilités
Gujan-Mestras,0,Aucun événement recensé,Indisponible,Non renseignée
Guyancourt,2,"Fête à l'Ermitage, L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé",31.2,Imagine R - Île-de-France Mobilités
Haguenau,1,L’Été culturel Des livres à soi,Indisponible,Non renseignée
Halluin,0,Aucun événement recensé,Indisponible,Non renseignée
Hazebrouck,0,Aucun événement recensé,Indisponible,Non renseignée
Herblay-sur-Seine,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Houilles,17,"Vernissage de la 15ème Biennale de la jeune création, Restitution des ateliers de l'été culturel, Plan B - Camille Geoffrion, De Cuyper vs. De Cuyper - Cie Pol & Freddy, La sieste olympique / Courir les rues",31.2,Imagine R - Île-de-France Mobilités
Hyères,2,"VOYONS VOIR / Atelier participatif de représentation de données, VOYONS VOIR / Atelier Participatif de Représentation de Données",Indisponible,Non renseignée
Hénin-Beaumont,1,Ateliers artistiques de rue - Hénin-Beaumont,Indisponible,Non renseignée
Hérouville-Saint-Clair,0,Aucun événement recensé,Indisponible,Non renseignée
Illkirch-Graffenstaden,0,Aucun événement recensé,Indisponible,Non renseignée
Issy-les-Moulineaux,1,Les ateliers d'Eté de La Source Garouste - Des Brillants,31.2,Imagine R - Île-de-France Mobilités
Istres,1,Atelier musical rap Khol,Indisponible,Non renseignée
Ivry-sur-Seine,16,"Embellissons le quartier du Petit-Ivry - Fresques en ateliers participatifs, La Musique des Emotions – Cie 1 er Acte, Lecture Musicale et Théâtrale – Cie 1 er Acte, Projection en plein air à Ivry-sur-Seine, Fête de l'été & Restitution du projet ""Embellissons le quartier""",31.2,Imagine R - Île-de-France Mobilités
Joinville-le-Pont,0,Aucun événement recensé,31.2,Imagine R - Île-de-France Mobilités
Joué-lès-Tours,3,"Atelier autour du film HLM PUSSY, Atelier pocket film ""De la fourche à la fourchette"", Intervention ""Escapade culturelle dans les jardins""",Indisponible,Non renseignée
Koungou,0,Aucun événement recensé,Indisponible,Non renseignée
Kourou,0,Aucun événement recensé,Indisponible,Non renseignée
L'Haÿ-les-Roses,2,Voyage en voisinage - Voyage en Valouette,31.2,Imagine R - Île-de-France Mobilités
L'Isle-sur-la-Sorgue,5,"Atelier de Paroles - ""Oui, mais hier, c'était mieux ?""                                   
avec Alain Ubaldi et Jeanne Bred - Compagnie K.I.T., Atelier de Paroles - ""Oui, mais hier, c'était mieux ?""                                   
avec Alain Ubaldi et Jeanne Bred - Cie K.I.T., Atelier construction et animation de marionnettes avec Marion Pirault - Compagnie K.I.T., Atelier Manipulation de Marionnettes, CONCERT - Fin de résidence Eté Culturel 2024",Indisponible,Non renseignée
La Celle-Saint-Cloud,8,"La Lucarne, Concert Lola Akwa + Luz + Morjane Ténéré, Atelier lectures et contes, Stage Afro Dance Hall, Atelier danse Hip-hop",31.2,Imagine R - Île-de-France Mobilités
La Chapelle-sur-Erdre,0,Aucun événement recensé,Indisponible,Non renseignée
La Ciotat,1,"Ateliers créatifs, résidence ""Les jardins de l'Espérance""",Indisponible,Non renseignée
