label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Champigny-sur-Marne,94017,25.7,3918,19591,Tempérée,"Finance, Luxe, Santé"
Champs-sur-Marne,77083,25.7,1333,6665,Tempérée,"Finance, Luxe, Santé"
Charenton-le-Pont,94018,25.7,1437,7189,Tempérée,"Finance, Luxe, Santé"
Charleville-Mézières,08105,11.5,2281,11408,Froide,"Énergie, Industrie"
Chartres,28085,10.2,1899,9497,Tempérée,"Agro, Pharmaceutique"
Chatou,78146,25.7,1502,7513,Tempérée,"Finance, Luxe, Santé"
Chaumont,95149,11.5,1070,5354,Froide,"Énergie, Industrie"
Chaville,92022,25.7,1009,5049,Tempérée,"Finance, Luxe, Santé"
Chelles,77108,25.7,2718,13593,Tempérée,"Finance, Luxe, Santé"
Chemillé-en-Anjou,49092,11.9,1077,5387,Océanique,"Naval, Agro"
Cherbourg-en-Cotentin,50129,9.3,3901,19507,Océanique,"Agro, Maritime"
Choisy-le-Roi,94022,25.7,2306,11530,Tempérée,"Finance, Luxe, Santé"
Cholet,49099,11.9,2703,13518,Océanique,"Naval, Agro"
Châlons-en-Champagne,51108,11.5,2160,10804,Froide,"Énergie, Industrie"
Châteauroux,36044,10.2,2153,10769,Tempérée,"Agro, Pharmaceutique"
Châtellerault,86066,13.4,1555,7776,Océanique,"Agroalimentaire, Vin"
Châtenay-Malabry,92019,25.7,1774,8872,Tempérée,"Finance, Luxe, Santé"
Châtillon,92020,25.7,1811,9056,Tempérée,"Finance, Luxe, Santé"
Clamart,92023,25.7,2844,14220,Tempérée,"Finance, Luxe, Santé"
Clermont-Ferrand,63113,12.3,7387,36937,Montagne,"Industrie, Recherche"
Clichy,92024,25.7,3255,16275,Tempérée,"Finance, Luxe, Santé"
Clichy-sous-Bois,93014,25.7,1477,7387,Tempérée,"Finance, Luxe, Santé"
Colmar,68066,11.5,3368,16840,Froide,"Énergie, Industrie"
Colombes,92025,25.7,4534,22673,Tempérée,"Finance, Luxe, Santé"
Colomiers,31149,13.0,2045,10229,Ensoleillée,"Aérospatial, Santé"
Combs-la-Ville,77122,25.7,1135,5678,Tempérée,"Finance, Luxe, Santé"
Compiègne,60159,10.5,2040,10202,Froide,"Logistique, Commerce"
Concarneau,29039,11.2,1031,5158,Océanique,"Numérique, Éducation"
Conflans-Sainte-Honorine,78172,25.7,1815,9076,Tempérée,"Finance, Luxe, Santé"
Corbeil-Essonnes,91174,25.7,2685,13428,Tempérée,"Finance, Luxe, Santé"
Cormeilles-en-Parisis,95176,25.7,1354,6771,Tempérée,"Finance, Luxe, Santé"
Coudekerque-Branche,59155,10.5,1041,5208,Froide,"Logistique, Commerce"
Courbevoie,92026,25.7,4097,20486,Tempérée,"Finance, Luxe, Santé"
Cournon-d'Auvergne,63124,12.3,1001,5005,Montagne,"Industrie, Recherche"
Couëron,44047,11.9,1177,5885,Océanique,"Naval, Agro"
Creil,60175,10.5,1824,9123,Froide,"Logistique, Commerce"
Croix,59163,10.5,1047,5239,Froide,"Logistique, Commerce"
Créteil,94028,25.7,4642,23214,Tempérée,"Finance, Luxe, Santé"
Cugnaux,31157,13.0,1011,5059,Ensoleillée,"Aérospatial, Santé"
Dammarie-les-Lys,77152,25.7,1162,5813,Tempérée,"Finance, Luxe, Santé"
Dax,40088,13.4,1085,5429,Océanique,"Agroalimentaire, Vin"
Denain,59172,10.5,1031,5155,Froide,"Logistique, Commerce"
Deuil-la-Barre,95197,25.7,1145,5725,Tempérée,"Finance, Luxe, Santé"
Dieppe,76217,9.3,1429,7149,Océanique,"Agro, Maritime"
Dijon,21231,10.4,7997,39985,Tempérée,"Agro, Mécanique"
Dole,39198,10.4,1189,5946,Tempérée,"Agro, Mécanique"
Douai,59178,10.5,1991,9958,Froide,"Logistique, Commerce"
Draguignan,83050,14.6,2039,10197,Ensoleillée,"Tourisme, Santé"
Drancy,93029,25.7,3565,17828,Tempérée,"Finance, Luxe, Santé"
Draveil,91201,25.7,1491,7456,Tempérée,"Finance, Luxe, Santé"
Dreux,28134,10.2,1560,7801,Tempérée,"Agro, Pharmaceutique"
Dumbéa,98805,12.0,1793,8968,Tempérée,"Services, Commerce"
Dunkerque,59183,10.5,4350,21753,Froide,"Logistique, Commerce"
Décines-Charpieu,69275,12.3,1495,7476,Montagne,"Industrie, Recherche"
Eaubonne,95203,25.7,1296,6483,Tempérée,"Finance, Luxe, Santé"
Ermont,95219,25.7,1459,7297,Tempérée,"Finance, Luxe, Santé"
Eysines,33162,13.4,1221,6109,Océanique,"Agroalimentaire, Vin"
Faaa,98715,12.0,1475,7376,Tempérée,"Services, Commerce"
Fleury-les-Aubrais,45147,10.2,1083,5416,Tempérée,"Agro, Pharmaceutique"
Fontaine,38169,12.3,1123,5617,Montagne,"Industrie, Recherche"
Fontenay-aux-Roses,92032,25.7,1229,6146,Tempérée,"Finance, Luxe, Santé"
Fontenay-sous-Bois,94033,25.7,2632,13161,Tempérée,"Finance, Luxe, Santé"
Forbach,57227,11.5,1055,5277,Froide,"Énergie, Industrie"
Fort-de-France,97209,12.0,3758,18791,Tempérée,"Services, Commerce"
Fougères,35115,11.2,1030,5150,Océanique,"Numérique, Éducation"
Franconville,95252,25.7,1901,9506,Tempérée,"Finance, Luxe, Santé"
Fresnes,94034,25.7,1464,7324,Tempérée,"Finance, Luxe, Santé"
Frontignan,34108,13.0,1189,5947,Ensoleillée,"Aérospatial, Santé"
Fréjus,83061,14.6,2924,14624,Ensoleillée,"Tourisme, Santé"
Gagny,93032,25.7,2039,10197,Tempérée,"Finance, Luxe, Santé"
Gap,05061,14.6,2032,10164,Ensoleillée,"Tourisme, Santé"
Gardanne,13041,14.6,1076,5383,Ensoleillée,"Tourisme, Santé"
Garges-lès-Gonesse,95268,25.7,2119,10597,Tempérée,"Finance, Luxe, Santé"
Gennevilliers,92036,25.7,2543,12718,Tempérée,"Finance, Luxe, Santé"
Gif-sur-Yvette,91272,25.7,1128,5644,Tempérée,"Finance, Luxe, Santé"
Givors,69091,12.3,1047,5235,Montagne,"Industrie, Recherche"
Gonesse,95277,25.7,1347,6739,Tempérée,"Finance, Luxe, Santé"
Goussainville,95280,25.7,1547,7738,Tempérée,"Finance, Luxe, Santé"
Gradignan,33192,13.4,1309,6546,Océanique,"Agroalimentaire, Vin"
Grande-Synthe,59271,10.5,1017,5086,Froide,"Logistique, Commerce"
Grasse,06069,14.6,2433,12167,Ensoleillée,"Tourisme, Santé"
Grenoble,38185,12.3,7819,39097,Montagne,"Industrie, Recherche"
Grigny,91286,25.7,1325,6625,Tempérée,"Finance, Luxe, Santé"
Gujan-Mestras,33199,13.4,1132,5660,Océanique,"Agroalimentaire, Vin"
Guyancourt,78297,25.7,1487,7439,Tempérée,"Finance, Luxe, Santé"
Haguenau,67180,11.5,1803,9017,Froide,"Énergie, Industrie"
Halluin,59279,10.5,1034,5171,Froide,"Logistique, Commerce"
Hazebrouck,59295,10.5,1089,5446,Froide,"Logistique, Commerce"
Herblay-sur-Seine,95306,25.7,1590,7954,Tempérée,"Finance, Luxe, Santé"
Houilles,78311,25.7,1680,8404,Tempérée,"Finance, Luxe, Santé"
Hyères,83069,14.6,2769,13846,Ensoleillée,"Tourisme, Santé"
Hénin-Beaumont,62427,10.5,1288,6441,Froide,"Logistique, Commerce"
Hérouville-Saint-Clair,14327,9.3,1123,5618,Océanique,"Agro, Maritime"
Illkirch-Graffenstaden,67218,11.5,1366,6834,Froide,"Énergie, Industrie"
Issy-les-Moulineaux,92040,25.7,3384,16923,Tempérée,"Finance, Luxe, Santé"
Istres,13047,14.6,2202,11011,Ensoleillée,"Tourisme, Santé"
Ivry-sur-Seine,94041,25.7,3226,16131,Tempérée,"Finance, Luxe, Santé"
Joinville-le-Pont,94042,25.7,1039,5196,Tempérée,"Finance, Luxe, Santé"
Joué-lès-Tours,37122,10.2,1921,9608,Tempérée,"Agro, Pharmaceutique"
Koungou,97610,12.0,1607,8039,Tempérée,"Services, Commerce"
Kourou,97304,12.0,1223,6117,Tempérée,"Services, Commerce"
L'Haÿ-les-Roses,94038,25.7,1566,7834,Tempérée,"Finance, Luxe, Santé"
L'Isle-sur-la-Sorgue,84054,14.6,1015,5078,Ensoleillée,"Tourisme, Santé"
La Celle-Saint-Cloud,78126,25.7,1022,5110,Tempérée,"Finance, Luxe, Santé"
La Chapelle-sur-Erdre,44035,11.9,1024,5120,Océanique,"Naval, Agro"
La Ciotat,13028,14.6,1879,9399,Ensoleillée,"Tourisme, Santé"
La Courneuve,93027,25.7,2354,11771,Tempérée,"Finance, Luxe, Santé"
La Garde,83062,14.6,1315,6579,Ensoleillée,"Tourisme, Santé"
La Garenne-Colombes,92035,25.7,1491,7457,Tempérée,"Finance, Luxe, Santé"
La Madeleine,59368,10.5,1108,5540,Froide,"Logistique, Commerce"
La Possession,97408,12.0,1819,9097,Tempérée,"Services, Commerce"
La Roche-sur-Yon,85191,11.9,2734,13674,Océanique,"Naval, Agro"
La Rochelle,17300,13.4,3998,19990,Océanique,"Agroalimentaire, Vin"
La Seyne-sur-Mer,83126,14.6,3145,15726,Ensoleillée,"Tourisme, Santé"
La Teste-de-Buch,33529,13.4,1357,6785,Océanique,"Agroalimentaire, Vin"
La Valette-du-Var,83144,14.6,1183,5915,Ensoleillée,"Tourisme, Santé"
Lagny-sur-Marne,77243,25.7,1071,5358,Tempérée,"Finance, Luxe, Santé"
Lambersart,59328,10.5,1355,6776,Froide,"Logistique, Commerce"
Lanester,56098,11.2,1159,5797,Océanique,"Numérique, Éducation"
Lannion,22113,11.2,1026,5131,Océanique,"Numérique, Éducation"
Laon,02408,10.5,1203,6016,Froide,"Logistique, Commerce"
Laval,53130,11.9,2473,12368,Océanique,"Naval, Agro"
Le Blanc-Mesnil,93007,25.7,2995,14978,Tempérée,"Finance, Luxe, Santé"
Le Bouscat,33069,13.4,1213,6065,Océanique,"Agroalimentaire, Vin"
Le Cannet,06030,14.6,2009,10049,Ensoleillée,"Tourisme, Santé"
Le Chesnay-Rocquencourt,78158,25.7,1553,7766,Tempérée,"Finance, Luxe, Santé"
Le Creusot,71153,10.4,1026,5134,Tempérée,"Agro, Mécanique"
Le Gosier,97113,12.0,1360,6801,Tempérée,"Services, Commerce"
Le Grand-Quevilly,76322,9.3,1297,6488,Océanique,"Agro, Maritime"
Le Havre,76351,9.3,8323,41615,Océanique,"Agro, Maritime"
Le Kremlin-Bicêtre,94043,25.7,1183,5919,Tempérée,"Finance, Luxe, Santé"
Le Lamentin,97213,12.0,1967,9836,Tempérée,"Services, Commerce"
Le Mans,72181,11.9,7259,36295,Océanique,"Naval, Agro"
Le Mont-Dore,98817,12.0,1381,6905,Tempérée,"Services, Commerce"
Le Moule,97117,12.0,1146,5731,Tempérée,"Services, Commerce"
Le Perreux-sur-Marne,94058,25.7,1732,8663,Tempérée,"Finance, Luxe, Santé"
Le Petit-Quevilly,76498,9.3,1096,5483,Océanique,"Agro, Maritime"
Le Plessis-Robinson,92060,25.7,1444,7223,Tempérée,"Finance, Luxe, Santé"
Le Plessis-Trévise,94059,25.7,1054,5274,Tempérée,"Finance, Luxe, Santé"
Le Port,97407,12.0,1683,8417,Tempérée,"Services, Commerce"
Le Robert,97222,12.0,1074,5372,Tempérée,"Services, Commerce"
Le Tampon,97422,12.0,4098,20491,Tempérée,"Services, Commerce"
Lens,62498,10.5,1634,8174,Froide,"Logistique, Commerce"
Les Abymes,97101,12.0,2588,12940,Tempérée,"Services, Commerce"
Les Lilas,93045,25.7,1163,5815,Tempérée,"Finance, Luxe, Santé"
Les Mureaux,78440,25.7,1707,8537,Tempérée,"Finance, Luxe, Santé"
Les Pavillons-sous-Bois,93057,25.7,1243,6218,Tempérée,"Finance, Luxe, Santé"
Les Pennes-Mirabeau,13071,14.6,1121,5605,Ensoleillée,"Tourisme, Santé"
Les Sables-d'Olonne,85194,11.9,2437,12185,Océanique,"Naval, Agro"
Les Ulis,91692,25.7,1281,6408,Tempérée,"Finance, Luxe, Santé"
Levallois-Perret,92044,25.7,3420,17103,Tempérée,"Finance, Luxe, Santé"
Libourne,33243,13.4,1233,6167,Océanique,"Agroalimentaire, Vin"
Lille,59350,10.5,11934,59673,Froide,"Logistique, Commerce"
Limeil-Brévannes,94044,25.7,1390,6951,Tempérée,"Finance, Luxe, Santé"
Limoges,87085,13.4,6487,32438,Océanique,"Agroalimentaire, Vin"
Lingolsheim,67267,11.5,1034,5170,Froide,"Énergie, Industrie"
Livry-Gargan,93046,25.7,2325,11626,Tempérée,"Finance, Luxe, Santé"
Liévin,62510,10.5,1505,7528,Froide,"Logistique, Commerce"
Longjumeau,91345,25.7,1023,5117,Tempérée,"Finance, Luxe, Santé"
Loos,59360,10.5,1147,5737,Froide,"Logistique, Commerce"
Lorient,56121,11.2,2910,14550,Océanique,"Numérique, Éducation"
Lormont,33249,13.4,1232,6163,Océanique,"Agroalimentaire, Vin"
Lunel,34145,13.0,1319,6595,Ensoleillée,"Aérospatial, Santé"
Lyon,69123,12.3,26038,130193,Montagne,"Industrie, Recherche"
Maisons-Alfort,94046,25.7,2871,14355,Tempérée,"Finance, Luxe, Santé"
Maisons-Laffitte,78358,25.7,1142,5713,Tempérée,"Finance, Luxe, Santé"
Malakoff,92046,25.7,1509,7545,Tempérée,"Finance, Luxe, Santé"
Mamoudzou,97611,12.0,3571,17859,Tempérée,"Services, Commerce"
Mandelieu-la-Napoule,06079,14.6,1060,5300,Ensoleillée,"Tourisme, Santé"
Manosque,04112,14.6,1140,5701,Ensoleillée,"Tourisme, Santé"
Mantes-la-Jolie,78361,25.7,2212,11061,Tempérée,"Finance, Luxe, Santé"
Mantes-la-Ville,78362,25.7,1093,5468,Tempérée,"Finance, Luxe, Santé"
Marcq-en-Barœul,59378,10.5,1997,9985,Froide,"Logistique, Commerce"
Marignane,13054,14.6,1658,8291,Ensoleillée,"Tourisme, Santé"
Marseille,13055,14.6,43860,219303,Ensoleillée,"Tourisme, Santé"
Martigues,13056,14.6,2440,12204,Ensoleillée,"Tourisme, Santé"
Massy,91377,25.7,2529,12649,Tempérée,"Finance, Luxe, Santé"
Matoury,97307,12.0,1777,8887,Tempérée,"Services, Commerce"
Maubeuge,59392,10.5,1443,7219,Froide,"Logistique, Commerce"
Meaux,77284,25.7,2832,14164,Tempérée,"Finance, Luxe, Santé"
Melun,77288,25.7,2184,10921,Tempérée,"Finance, Luxe, Santé"
Menton,06083,14.6,1516,7581,Ensoleillée,"Tourisme, Santé"
Metz,57463,11.5,6084,30423,Froide,"Énergie, Industrie"
Meudon,92048,25.7,2336,11680,Tempérée,"Finance, Luxe, Santé"
Meyzieu,69282,12.3,1821,9109,Montagne,"Industrie, Recherche"
Millau,12145,13.0,1092,5464,Ensoleillée,"Aérospatial, Santé"
Miramas,13063,14.6,1294,6472,Ensoleillée,"Tourisme, Santé"
Mitry-Mory,77294,25.7,1019,5098,Tempérée,"Finance, Luxe, Santé"
Mons-en-Barœul,59410,10.5,1068,5342,Froide,"Logistique, Commerce"
Mont-Saint-Aignan,76451,9.3,1009,5047,Océanique,"Agro, Maritime"
Mont-de-Marsan,40192,13.4,1572,7863,Océanique,"Agroalimentaire, Vin"
Montaigu-Vendée,85146,11.9,1037,5188,Océanique,"Naval, Agro"
Montauban,82121,13.0,3124,15621,Ensoleillée,"Aérospatial, Santé"
Montbéliard,25388,10.4,1275,6379,Tempérée,"Agro, Mécanique"
Montereau-Fault-Yonne,77305,25.7,1092,5460,Tempérée,"Finance, Luxe, Santé"
Montfermeil,93047,25.7,1412,7064,Tempérée,"Finance, Luxe, Santé"
Montgeron,91421,25.7,1194,5972,Tempérée,"Finance, Luxe, Santé"
Montigny-le-Bretonneux,78423,25.7,1607,8037,Tempérée,"Finance, Luxe, Santé"
Montigny-lès-Cormeilles,95424,25.7,1119,5597,Tempérée,"Finance, Luxe, Santé"
Montigny-lès-Metz,57480,11.5,1093,5467,Froide,"Énergie, Industrie"
Montluçon,03185,12.3,1665,8329,Montagne,"Industrie, Recherche"
Montmorency,95428,25.7,1083,5419,Tempérée,"Finance, Luxe, Santé"
Montpellier,34172,13.0,15355,76775,Ensoleillée,"Aérospatial, Santé"
Montreuil,93048,25.7,5537,27689,Tempérée,"Finance, Luxe, Santé"
Montrouge,92049,25.7,2313,11568,Tempérée,"Finance, Luxe, Santé"
Montélimar,26198,12.3,2017,10089,Montagne,"Industrie, Recherche"
Morsang-sur-Orge,91434,25.7,1058,5290,Tempérée,"Finance, Luxe, Santé"
Mulhouse,68224,11.5,5246,26231,Froide,"Énergie, Industrie"
Muret,31395,13.0,1282,6413,Ensoleillée,"Aérospatial, Santé"
Mâcon,71270,10.4,1737,8689,Tempérée,"Agro, Mécanique"
Mérignac,33281,13.4,3856,19284,Océanique,"Agroalimentaire, Vin"
Nancy,54395,11.5,5219,26096,Froide,"Énergie, Industrie"
Nanterre,92050,25.7,4905,24529,Tempérée,"Finance, Luxe, Santé"
Nantes,44109,11.9,16253,81267,Océanique,"Naval, Agro"
Narbonne,11262,13.0,2834,14173,Ensoleillée,"Aérospatial, Santé"
Neuilly-Plaisance,93049,25.7,1095,5478,Tempérée,"Finance, Luxe, Santé"
Neuilly-sur-Marne,93050,25.7,1939,9699,Tempérée,"Finance, Luxe, Santé"
Neuilly-sur-Seine,92051,25.7,2960,14800,Tempérée,"Finance, Luxe, Santé"
Nevers,58194,10.4,1658,8293,Tempérée,"Agro, Mécanique"
Nice,06088,14.6,17685,88425,Ensoleillée,"Tourisme, Santé"
Niort,79191,13.4,3003,15018,Océanique,"Agroalimentaire, Vin"
Nogent-sur-Marne,94052,25.7,1649,8249,Tempérée,"Finance, Luxe, Santé"
Nogent-sur-Oise,60463,10.5,1092,5464,Froide,"Logistique, Commerce"
Noisy-le-Grand,93051,25.7,3581,17908,Tempérée,"Finance, Luxe, Santé"
Noisy-le-Sec,93053,25.7,2295,11478,Tempérée,"Finance, Luxe, Santé"
Nouméa,98818,12.0,4714,23571,Tempérée,"Services, Commerce"
Nîmes,30189,13.0,7522,37611,Ensoleillée,"Aérospatial, Santé"
Olivet,45232,10.2,1149,5747,Tempérée,"Agro, Pharmaceutique"
Orange,84087,14.6,1467,7339,Ensoleillée,"Tourisme, Santé"
Orly,94054,25.7,1224,6122,Tempérée,"Finance, Luxe, Santé"
Orléans,45234,10.2,5817,29086,Tempérée,"Agro, Pharmaceutique"
Orvault,44114,11.9,1417,7085,Océanique,"Naval, Agro"
Oullins-Pierre-Bénite,69149,12.3,1896,9482,Montagne,"Industrie, Recherche"
Oyonnax,01283,12.3,1118,5594,Montagne,"Industrie, Recherche"
Ozoir-la-Ferrière,77350,25.7,1048,5242,Tempérée,"Finance, Luxe, Santé"
Palaiseau,91477,25.7,1803,9016,Tempérée,"Finance, Luxe, Santé"
Pantin,93055,25.7,3047,15238,Tempérée,"Finance, Luxe, Santé"
Papeete,98735,12.0,1346,6731,Tempérée,"Services, Commerce"
Paris,75056,25.7,105685,528426,Tempérée,"Finance, Luxe, Santé"
Pau,64445,13.4,3931,19655,Océanique,"Agroalimentaire, Vin"
Païta,98821,12.0,1228,6140,Tempérée,"Services, Commerce"
Perpignan,66136,13.0,6049,30249,Ensoleillée,"Aérospatial, Santé"
Pessac,33318,13.4,3343,16718,Océanique,"Agroalimentaire, Vin"
Petit-Bourg,97118,12.0,1214,6074,Tempérée,"Services, Commerce"
Plaisance-du-Touch,31424,13.0,1023,5117,Ensoleillée,"Aérospatial, Santé"
Plaisir,78490,25.7,1598,7992,Tempérée,"Finance, Luxe, Santé"
Poissy,78498,25.7,2039,10198,Tempérée,"Finance, Luxe, Santé"
Poitiers,86194,13.4,4473,22368,Océanique,"Agroalimentaire, Vin"
Pontault-Combault,77373,25.7,1947,9735,Tempérée,"Finance, Luxe, Santé"
Pontoise,95500,25.7,1581,7905,Tempérée,"Finance, Luxe, Santé"
Punaauia,98738,12.0,1405,7025,Tempérée,"Services, Commerce"
Puteaux,92062,25.7,2209,11049,Tempérée,"Finance, Luxe, Santé"
Périgueux,24322,13.4,1493,7469,Océanique,"Agroalimentaire, Vin"
Quimper,29232,11.2,3226,16132,Océanique,"Numérique, Éducation"
Rambouillet,78517,25.7,1357,6786,Tempérée,"Finance, Luxe, Santé"
Reims,51454,11.5,8923,44619,Froide,"Énergie, Industrie"
Remire-Montjoly,97309,12.0,1351,6759,Tempérée,"Services, Commerce"
Rennes,35238,11.2,11391,56957,Océanique,"Numérique, Éducation"
Rezé,44143,11.9,2167,10837,Océanique,"Naval, Agro"
Rillieux-la-Pape,69286,12.3,1573,7869,Montagne,"Industrie, Recherche"
Ris-Orangis,91521,25.7,1514,7570,Tempérée,"Finance, Luxe, Santé"
